100000 138000
2594 54179 54601
31628 31321 80696
20316 25924 29120
81201 49636 21942
91549 96771 38607
71109 84822 128286
8303 65929 100083
23810 48841 16021
23367 44568 121207
1308 71482 91812
33491 83722 78613
60480 56100 83645
40576 21436 13750
47667 51088 7044
54640 64200 113422
62751 16670 38130
32045 92846 22222
21413 76441 108279
49621 73169 57716
23670 2516 115787
7727 66043 20911
58248 99017 84873
4536 66542 104560
94292 71315 60266
67638 70186 132518
39478 57369 123020
35467 53565 134601
67379 48952 48206
24587 30366 74347
24670 44762 106969
18633 86977 19789
7874 46611 128997
70550 82068 71298
76841 82290 42245
26774 6262 39947
96791 69948 13841
4836 9344 53854
2414 82987 30738
31334 97240 51366
48800 1025 3366
37179 43909 92385
80127 23881 93302
41412 44815 73275
9249 44309 67350
21785 69893 80424
19284 56203 77394
42187 39327 13454
24665 78544 52965
55795 41433 37069
98645 53539 62718
20513 55526 19798
48039 58690 64548
92063 54121 54669
25495 23758 56510
53948 82047 15912
16005 4480 526
68111 12501 40384
81041 14254 80206
44995 80517 73520
87387 4437 127720
54557 1632 116701
33692 25231 117521
42496 44132 62436
56760 91495 123808
76288 26125 86278
7997 70144 100058
29702 66299 7379
76368 50470 111474
44522 86557 12981
9972 80684 88631
99963 4823 68177
81904 1805 108714
94978 24330 110867
99753 53732 70121
97928 81599 60728
57813 7510 94887
28502 22758 40431
33679 57514 108546
17940 43216 69908
75225 92293 99424
95981 30147 65456
10875 13376 32253
72724 34933 114501
31903 70474 71569
70361 23281 30166
10178 61097 81821
24836 60098 42350
48977 21553 33054
3932 8698 131211
24699 37664 9934
34721 42767 98796
30591 10614 111068
58367 11621 105002
76895 2062 108285
37272 39529 26013
83819 5752 81132
75802 25344 94799
70918 66160 37400
78211 5948 123791
62128 54306 96597
95308 86143 89041
65721 25931 110895
66958 46493 2717
19848 46326 102597
45456 22372 50792
39751 82059 15411
8401 11661 109422
53 79488 39486
72146 22551 65230
49092 52049 76021
4392 41370 125320
33167 49164 115931
82024 10994 110299
26605 14 4659
58806 78594 124355
40771 23660 75524
96508 40923 28144
61928 14369 129937
59282 31521 118294
51495 51154 48309
38968 86564 30268
7813 18772 2429
78916 50877 5374
1176 71672 6318
10238 45466 10769
70088 91502 128610
22328 18493 136810
35371 45197 294
28958 17335 127843
70203 96885 97411
18200 73733 11707
16277 37578 50034
19235 18502 35946
51913 19988 14831
95181 9852 133063
46377 83698 94542
31235 31273 28492
34886 64619 30564
16938 24169 87784
21754 42292 200
89340 84190 7518
4141 24915 127443
63698 61551 131009
63325 30764 86964
12359 39724 79032
16922 36030 104734
33037 59366 86407
17129 16010 86017
55150 63960 83372
13031 57123 78039
51424 14115 42328
72885 82534 14641
57621 51600 47906
62421 98551 46960
51860 92617 81670
45370 43399 59668
20635 1452 73183
70120 24561 118428
13841 90728 20798
95224 62965 62686
10614 22980 8590
80816 5113 35392
22447 36027 97835
33432 67381 5380
35370 21360 76055
53950 34637 82049
96011 11057 115251
19121 68123 111616
77800 41753 72174
91308 60231 73917
3207 24460 101233
76251 39276 124320
95982 5361 132646
20265 15058 45433
56551 83116 47320
74200 14345 55548
38045 77818 50824
32960 16043 119455
65499 57339 78897
95238 90342 29942
97925 30540 54030
34857 88093 40995
94319 89485 62345
65735 27382 87147
88837 94153 42334
66694 54286 8058
93373 68437 124424
50707 45181 114984
55623 18915 67052
87660 95648 83221
17092 30939 89344
53212 74408 74158
79797 65375 22991
55317 12787 136172
84746 41622 96002
50640 21722 126121
61351 91910 136462
23804 54785 63031
79096 89938 118605
76868 22232 77144
69458 7716 127874
29031 69936 37647
72133 75583 113554
5928 24728 35743
34621 6240 133905
49187 36574 1767
61035 89113 108679
74714 84664 82497
49563 26294 131563
25248 46344 35522
8269 33 43003
99519 34293 137569
88298 7579 80073
678 92828 62953
47928 30632 16879
37443 74089 118398
35048 97863 39085
94452 62494 51052
15190 18395 13394
32410 20394 69969
90433 15316 126363
89282 41633 105382
31931 49458 29832
92390 36246 21006
18610 71913 70175
32689 28897 75565
13993 76878 87384
95226 98346 134381
67791 91124 91837
86853 62528 12676
66477 55707 69278
87287 62214 120271
6733 45209 1116
30727 66440 110622
64527 3326 30100
22029 19447 97365
15155 68887 51909
82470 98855 84726
49592 26131 40508
86989 20643 118002
67650 64593 109914
51045 44594 46401
50193 90564 56680
63785 5116 94956
57059 89924 21662
57911 26171 137570
23930 15403 50639
79090 20361 78516
79419 13161 40211
43905 66542 22953
86281 36230 135710
32253 88762 59243
72779 98134 127119
20979 7592 38957
81532 89988 92943
73701 5967 29714
1635 72475 37426
6154 11540 114652
35703 90272 63817
66733 62487 103378
52237 17883 129477
33860 48042 6871
89353 92342 46079
53191 21184 33555
5459 65876 29727
97729 15689 107846
61737 20498 56650
64641 69979 9313
37342 99659 36553
32574 58582 14473
25148 90118 27107
89336 56052 110766
29849 24609 69569
22864 40732 50497
16416 54868 55037
69227 42670 111105
54748 88923 94662
57454 82066 121289
44743 90621 64749
31768 76745 16725
95959 90843 29813
73200 17043 45667
99865 89165 117633
31589 13314 5738
46284 50363 5399
72547 378 129553
47756 20771 52492
16799 4078 1762
35307 38247 128818
59719 53479 81739
44666 4990 130909
17873 75973 77365
55684 86480 99055
69592 16668 88425
39005 76036 136429
75479 64474 35146
83172 30017 2705
63497 12520 20788
48658 12585 113072
45150 36848 74417
98256 40684 98192
69774 58851 47735
18739 23585 93908
76049 53109 105339
44539 3406 56151
11599 9360 20471
