28000 30000
1 902 7691
1 17291 29560
2 27647 26320
3 21672 18800
3 25521 22686
4 12413 12005
5 19048 1098
5 25095 2752
5 25357 4823
6 6264 11803
6 20177 28788
7 6582 16878
7 25073 2533
8 12063 9822
9 19490 7096
9 25348 21307
10 6874 3373
11 17257 4935
11 25458 24227
12 21366 9223
12 26035 28204
13 6199 28339
13 16018 4468
13 21736 13129
14 9988 4991
14 11607 26400
14 13628 15463
14 26321 21294
15 4666 9612
15 6396 24039
15 19406 3521
16 744 26747
16 26319 2211
17 8756 27245
17 9151 25245
17 14345 3812
18 15142 29590
18 21987 25285
18 27902 28913
19 18104 5132
20 6431 3227
20 18493 6827
21 6966 22784
21 9405 22328
21 17986 25691
22 23868 16678
23 8188 12791
23 13874 5879
23 20543 27740
23 23561 5120
24 11803 5176
24 22426 458
24 26832 1962
25 23998 12209
25 25088 16907
26 1782 917
27 21333 28280
28 18790 8886
28 24838 10661
29 8045 1276
30 11612 22195
31 16912 10294
31 20372 24620
32 10861 22166
32 18161 6239
32 19728 8184
32 26161 8075
33 10787 29508
34 15184 13077
34 19453 4338
35 9879 13031
35 13297 26995
35 19902 28542
36 4970 20450
36 9533 12479
37 12111 13456
38 5039 28435
39 11940 8264
39 19233 7176
40 6361 6994
40 17653 27087
41 10972 23469
41 14360 18489
42 6990 26198
42 11717 24631
43 14213 270
44 3551 5022
44 24586 28845
45 1968 21077
45 11703 21534
46 23525 3769
46 23591 637
47 5964 16482
47 25945 24061
48 27110 14763
49 8805 15696
49 9140 14053
49 15489 22031
49 21975 8158
49 22671 1886
49 27828 12549
50 18761 2883
51 5555 21191
51 13365 18382
51 27895 16083
52 2110 22306
52 26756 4496
53 641 7255
53 10650 28097
53 21198 16718
54 11535 27162
54 12994 22308
54 24648 1257
54 26929 772
55 13792 18527
55 25281 19009
56 21619 22278
56 27930 29
57 15584 1185
58 6416 11993
58 8608 10107
59 1996 24547
59 3454 3979
60 947 27867
60 6488 25047
60 20489 28656
61 15160 11589
61 17749 16698
62 6432 8565
62 17757 26385
62 20477 28122
63 2027 10130
63 22816 5620
64 1947 28279
64 15605 24865
64 22578 9554
65 8782 481
65 11352 13865
66 3643 29358
66 7769 11724
67 19305 14358
67 22399 8118
68 21450 16777
69 4659 24702
69 17716 20752
69 24788 11384
70 6739 22946
71 1608 18752
72 11788 23888
72 17754 1107
73 27440 4628
74 8222 3894
74 10822 6210
74 23477 16415
75 21147 6009
75 27447 28551
76 24484 20464
76 26971 22044
77 2828 1223
77 20690 19792
78 1809 25169
78 14224 9798
79 19326 25363
79 21754 10579
80 2631 19806
80 27997 15048
81 11076 8432
81 19774 10898
81 19936 26422
81 22363 29679
81 23701 17891
82 11957 8194
82 19288 964
82 27261 28869
83 20866 15468
84 19238 14152
84 23872 27261
85 6850 20596
85 21011 12850
86 3606 12168
86 7650 17171
87 15427 16824
87 24306 28267
88 2229 21997
88 17845 13631
89 3380 27350
89 12451 28387
89 16226 20291
90 20554 20550
90 21355 3302
90 26866 26988
91 18986 28173
91 27813 18358
92 16731 6862
92 17460 17520
92 24112 12551
93 15800 2558
94 6201 13393
94 6589 3532
94 21045 8975
95 15070 25979
95 16378 13847
95 22358 28288
96 26110 25904
97 9664 28286
98 9959 22526
98 21338 18765
99 526 9452
99 4301 29046
99 13983 23162
99 15447 17502
100 3975 8032
100 4304 3303
100 19516 19045
101 7453 24874
101 7945 9421
102 8231 16706
102 21730 14882
103 1981 29292
104 20020 2765
105 2776 29552
105 3102 15083
105 5319 9293
106 3761 13565
106 18217 6978
107 22353 23708
107 22433 16761
107 26574 25551
108 7014 12593
108 9393 29365
109 21141 17475
110 10000 575
110 17667 25191
111 5320 23011
111 22913 22455
111 27151 13563
112 10390 9556
113 3705 25492
114 16099 1868
115 8988 27796
116 14230 24012
117 466 4125
117 9212 21988
117 12087 12870
117 18352 24864
118 2524 4344
118 18559 25163
119 11966 5202
119 16798 10301
120 7174 7005
121 19271 18000
121 24164 12803
122 6395 25651
123 9726 26361
123 24420 23749
124 7737 19173
124 11305 23261
124 21325 16977
125 234 8451
125 8180 3720
125 16066 345
126 5021 17860
127 7606 29310
128 12557 16043
129 6310 17400
129 15860 28677
129 19431 20020
130 19229 6797
130 24545 3147
131 6778 11660
131 7738 5387
132 15383 7358
132 17075 25879
133 15287 4152
133 22813 1935
134 4143 21087
134 7132 29759
135 6312 29234
135 7427 29547
135 11332 1330
135 16826 23366
135 27441 22661
136 3751 5112
137 1268 2708
137 11014 15449
138 11292 3628
138 15997 20129
139 23574 20683
140 10119 24399
140 23411 29673
141 9567 11399
141 20502 8014
142 9109 2976
142 17710 17434
143 13550 4636
143 18936 13469
144 1228 22709
144 23880 22153
145 13027 19708
145 18963 4816
145 25620 13497
146 8311 26064
146 13619 11874
146 23557 21624
147 23681 3809
148 2510 29168
148 5590 930
148 12852 16990
149 13433 21687
149 21002 23040
150 4836 12133
150 14113 11741
151 10068 2141
151 21450 26353
151 25557 16853
152 24387 14003
153 6770 11828
154 13588 8719
155 1620 17534
155 4270 139
156 8411 12264
156 25248 2837
156 27070 16375
156 27795 28595
157 22370 11672
158 7060 21372
158 17733 18882
158 24216 551
159 4505 26074
159 16105 5174
160 10204 2546
161 3921 4897
161 15076 14235
161 16884 13100
162 7901 4702
162 11214 12577
163 7899 9396
164 1738 13192
165 14882 29102
165 15342 19728
166 11366 2616
166 15440 2892
166 17577 25540
167 1718 18903
167 12827 1021
167 17763 18498
168 27945 19681
169 16588 25547
169 19028 6127
170 5996 28342
170 9022 13290
170 9744 26358
170 9840 10089
171 23645 16791
172 15751 12198
172 23466 14582
173 27227 13282
174 18749 16505
174 21797 22050
175 2423 3080
175 18832 16578
176 18453 5442
176 22941 1536
177 575 12380
177 1971 7456
177 21579 2427
177 22500 24594
178 20908 23623
178 20995 17909
179 798 12634
179 5494 13496
180 2532 17191
180 5509 12147
180 17676 2596
181 12140 18918
181 22310 7496
182 11992 21604
182 19108 68
183 5869 4820
183 16650 12438
183 17186 12750
183 21822 25336
184 2605 14914
184 18872 5992
184 22155 24726
185 11760 8255
185 16860 796
185 16954 13106
185 23449 13188
185 26716 4371
185 27393 22822
186 7794 19935
186 8056 21138
186 25405 11339
187 15679 24922
188 758 19914
189 4952 25849
189 16765 25387
190 319 7657
190 1619 13103
190 26219 1153
191 14945 14661
191 15068 19141
192 23561 28675
193 11162 643
194 6746 11058
194 15571 10208
195 18079 12519
195 20472 13929
195 20875 90
195 27411 1030
196 14428 8306
196 20062 13190
197 19225 13507
198 4145 4098
199 10589 11936
199 20759 8689
200 1215 19237
200 10656 1986
200 11987 8030
200 12574 18301
201 3144 20078
201 22448 6613
202 2153 17603
203 2251 8053
203 22790 28665
203 23726 20714
204 13283 26290
205 16736 1348
206 12630 19876
207 8329 28209
207 11949 3648
208 7083 23848
208 12197 19206
208 13688 6070
209 20662 16960
210 5329 18478
210 6405 19230
210 8918 3452
210 20728 18829
211 14033 24842
211 17359 3668
212 11336 14269
213 3731 16544
213 8582 8864
213 20930 27011
214 19038 3874
214 24383 22428
215 13729 29864
215 19063 19099
216 6792 13321
216 8661 13954
217 2115 7932
217 11628 18795
217 18425 2936
217 22250 17955
