35000 200000
1 497 1581
1 6712 19781
1 17748 63385
1 18623 45806
1 21372 148688
1 30139 125662
1 30576 117639
1 32755 136667
1 34502 132360
2 1320 101520
2 6399 127644
2 14377 155865
2 21119 10409
2 23192 189404
2 25798 17538
2 27446 70482
2 31434 19225
3 4111 31676
3 4573 182578
3 4623 138101
3 6821 8870
3 7670 84404
3 8194 91804
3 14531 192065
3 18807 189053
3 19404 121794
3 24089 100142
3 24232 175635
3 26500 143706
3 28485 80265
3 28589 53242
3 33427 104275
4 9380 66310
4 9463 66134
4 14304 81676
4 14549 116977
4 14680 126828
4 22666 157539
4 24560 57995
4 33430 14784
5 2977 23327
5 6632 183044
5 7662 45223
5 9393 28437
5 12765 65287
5 14014 60904
5 16295 168074
5 19185 65259
5 21310 41079
5 22197 31541
5 22527 154614
5 24023 133886
5 26205 115647
5 27263 118383
5 27888 166113
5 32767 184975
5 33843 184268
5 33862 90215
5 33961 159887
6 3173 101785
6 8950 153009
6 10120 50253
6 14141 3698
6 18230 186252
6 18872 157055
6 28529 76114
6 31236 18137
6 32482 126025
7 4172 60330
7 5150 75080
7 5774 61061
7 12244 154991
7 15469 145407
7 18358 53863
7 20386 142449
7 23502 4179
7 24868 41258
7 26096 58877
7 29143 123927
7 34018 195721
7 34190 80115
7 34364 68256
8 3598 87515
8 3966 65235
8 9562 4014
8 15676 149712
8 20552 147083
8 28161 107638
9 13395 190379
9 14729 62030
9 15719 114792
9 26875 9400
9 30129 4087
10 983 115258
10 4337 41016
10 5042 95679
10 12884 29853
10 28484 76635
10 28824 12503
10 34372 98241
11 3356 138071
11 3652 85868
11 12198 123318
11 16451 69995
11 19845 148106
11 21308 199328
11 22500 190878
11 22996 145786
11 29235 186555
11 30203 187935
11 34344 95503
12 2448 24384
12 6356 190418
12 6838 127036
12 10200 125903
12 14062 5126
12 15848 3563
12 17024 133011
12 19393 158390
12 26421 108058
12 29950 77789
13 1095 180443
13 2678 54460
13 11854 187830
13 12877 162361
13 14581 42041
13 15633 168090
13 18058 84137
13 18101 164701
13 19883 112978
13 20108 139774
13 21608 34245
13 22822 139788
13 24118 113331
13 25938 17439
13 27591 134272
13 29398 41162
13 30374 160586
13 30992 173399
14 6137 31819
14 11204 14200
14 13550 63947
14 13635 142726
14 13839 120645
14 14911 72599
14 21275 182556
14 30840 137296
14 31679 163512
15 1163 102322
15 6746 77518
15 8342 23500
15 9073 157007
15 10313 25515
15 10983 61731
15 11127 95186
15 17668 11055
15 21806 179424
15 23659 159834
15 28453 78705
15 28813 953
15 34266 2945
16 277 116174
16 1011 90062
16 1759 127272
16 6531 111790
16 11465 79149
16 14000 33168
16 14649 106891
16 14948 190975
16 18853 176033
16 22898 148174
16 26489 79495
16 26509 186117
16 34392 38620
17 524 109260
17 2007 17462
17 13394 173192
17 14730 13323
17 14766 101449
17 18379 27477
17 19307 194315
17 25388 22445
17 25660 54
17 28908 168541
17 29611 138034
17 31660 82486
18 1265 54345
18 3691 114589
18 3772 181200
18 4056 87611
18 9936 186854
18 14937 143550
18 15504 137747
18 20362 147052
18 20382 58161
18 24428 140663
18 25310 110376
18 27862 28817
18 29912 123435
19 806 75839
19 875 49895
19 9211 35930
19 11963 76180
19 12007 190595
19 20197 36100
19 20992 122207
19 28095 174437
19 30177 102667
19 30906 82038
19 30935 104507
19 31644 181632
20 135 84109
20 1548 112979
20 1597 138590
20 2092 33034
20 4901 122686
20 5139 104900
20 6740 126038
20 9453 152328
20 9625 8042
20 10811 96558
20 17715 95402
20 20932 66127
20 22362 163949
20 24197 51668
20 24272 45179
20 29087 92443
21 1353 78537
21 2534 135753
21 2676 124637
21 3106 81218
21 3905 14389
21 4064 36265
21 5853 81463
21 6873 188668
21 9306 13686
21 17402 124083
21 20098 67633
21 22201 66775
21 29365 37344
21 33623 112965
22 811 62830
22 1251 158966
22 2250 110362
22 3918 62043
22 10802 69126
22 15662 195987
22 17286 3327
22 23683 66278
22 24849 158237
22 25947 198204
22 28375 150427
22 32857 4426
23 813 48173
23 1998 8427
23 4163 133606
23 8625 131401
23 9341 150587
23 13630 188785
23 15575 8531
23 16188 100677
23 16680 25173
23 17572 154152
23 17578 69417
23 19064 165221
23 21112 73572
23 22100 12188
23 22719 195156
23 25347 72514
23 28390 49685
23 28738 192896
23 28811 39773
23 29551 17781
23 30550 133813
23 34477 144929
24 1257 46692
24 6916 171793
24 7029 176828
24 15017 106662
24 17527 50001
24 18464 42530
24 21241 87942
24 22095 87835
24 22628 172749
24 26099 19393
24 34463 55550
25 1243 6858
25 3045 58268
25 7050 143318
25 10172 34405
25 14577 178739
25 17458 181764
25 18660 6226
25 23820 16920
25 26542 171365
25 29473 131917
25 32631 53227
26 2483 29121
26 3158 47267
26 5076 139809
26 5532 57671
26 6303 164916
26 7381 82381
26 8616 195244
26 9445 129235
26 16659 102009
26 23368 163851
26 24705 144461
26 29899 129387
26 30600 159081
27 900 78805
27 3370 123681
27 17247 163121
27 20149 65238
27 22709 183056
27 23306 100884
27 24849 60476
27 29529 91121
27 31218 40273
27 33450 27432
28 1487 57043
28 2185 123609
28 10623 188137
28 10736 20234
28 11643 24795
28 11938 91602
28 11950 24906
28 16423 44496
28 17988 124553
28 18270 8398
28 18885 157257
28 21382 175135
28 30904 10270
29 3871 109881
29 11444 37724
29 15290 85342
29 15826 162999
29 19310 10060
29 24690 14073
30 490 18751
30 1417 147718
30 2056 2978
30 10083 127766
30 12466 118282
30 15562 35948
30 18882 90428
31 251 55386
31 2149 19818
31 2811 165146
31 3005 9496
31 5329 32494
31 7071 38952
31 11449 14659
31 13918 48330
31 20089 150423
31 21657 60939
31 27572 181538
31 33633 11357
32 102 76807
32 506 40178
32 1585 92797
32 6511 197241
32 11245 154608
32 12382 145029
32 12507 49821
32 16678 110539
32 16722 115910
32 17676 121019
32 19014 34818
32 19147 186116
32 19711 109689
32 22726 166876
33 3448 84930
33 3599 48672
33 4190 121460
33 9438 196310
33 15642 94186
33 17195 129688
33 17222 72305
33 17606 75556
33 20682 157101
33 25292 180350
33 26133 104718
33 27272 178241
33 32688 187794
33 33436 39279
34 265 45242
34 6287 6335
34 7166 94084
34 10706 72310
34 11860 6297
34 12860 36294
34 16402 18862
34 17043 71656
34 17347 134126
34 19775 80962
34 20299 116600
34 26517 33206
34 28928 44880
34 32742 147988
34 33076 70528
35 2257 97201
35 3534 43936
35 6898 173742
35 9071 88228
35 14745 136117
35 14943 32053
35 15109 68210
35 16279 48124
35 17302 172032
35 22250 198702
35 23241 66343
35 24179 166715
35 30422 164425
35 34451 70813
36 6007 661
36 7424 144469
36 9411 83526
36 11293 54589
36 13174 14271
36 16693 126516
36 29045 75070
36 29115 9162
37 617 46141
37 5652 133644
37 7190 111521
37 10428 131973
37 14812 132145
37 15891 27981
37 19049 168584
37 19103 103969
37 20104 78032
37 23916 42804
37 24748 89186
37 25202 40412
37 27902 46972
37 28917 8665
37 29712 59891
38 8267 115535
38 9143 27919
38 10117 73250
38 11406 107105
38 15142 128753
38 20528 81232
38 23854 153332
38 23936 119499
38 26098 158701
39 565 51163
39 4556 102131
39 7430 77455
39 11595 55650
39 15524 176893
39 18426 140541
39 21070 26531
39 28883 145979
39 31963 10824
39 33025 84478
39 33776 44220
40 2184 6070
40 5273 1358
40 5830 191734
40 8980 106967
40 10462 144902
40 15772 13861
40 16896 150913
40 17005 159954
40 17944 82253
40 20573 139352
40 26160 120348
40 26983 189081
40 29389 16914
41 2691 76749
41 3567 75637
41 11103 118718
41 17817 144356
41 22602 132357
41 22909 60180
41 26218 85074
41 29452 49911
41 32434 85866
42 4358 191381
42 6396 55367
42 10390 169029
42 12692 141794
42 16250 42141
42 20083 165289
42 24073 156202
42 27490 61635
42 27752 91600
42 28959 183041
42 30561 92526
43 809 193849
43 3652 191187
43 16072 108565
43 18496 133154
43 19648 54109
43 22444 108150
43 24833 71767
43 31041 20825
43 33924 111341
43 34288 156957
44 2510 22248
44 8809 193730
44 11220 944
44 23618 2540
44 28135 195711
44 31272 165864
44 31394 32254
44 34863 143126
45 979 141429
45 7138 77071
45 9828 113311
45 10495 26201
45 12154 82400
45 12740 104846
45 14725 10977
45 16204 154136
45 19533 54058
45 28586 13496
46 1935 69042
46 7605 156360
46 11637 75534
46 11937 173752
46 18132 31125
46 25568 14639
46 31902 48244
46 32630 97116
47 2048 28168
47 3337 28462
47 6540 187643
47 15034 36422
47 16698 7434
47 18274 94354
47 18393 175418
47 24075 150917
47 28930 189984
47 29873 19558
48 1577 124201
48 2683 172707
48 3441 166582
48 5813 76545
48 6944 104523
48 7589 25531
48 10728 180625
48 16645 42509
48 18283 107998
48 21234 95543
48 22548 33949
48 26784 23096
48 28066 157938
48 28831 190555
48 32726 117843
48 33812 81686
48 34620 86467
49 849 141508
49 1137 108039
49 9722 18373
49 10939 165123
49 13954 88319
49 16607 82418
49 20129 90297
49 23379 68280
49 26165 83523
49 30335 71155
49 33099 174941
50 5506 4216
50 7983 61709
50 9299 26845
50 15731 79779
50 21460 29133
50 26819 32295
50 30115 192764
50 30599 22299
50 33575 37397
51 5529 114196
51 6196 140337
51 8227 188423
51 9320 112122
51 11567 12429
51 11849 144287
51 12141 180543
51 12786 87618
51 16968 179588
51 17328 101755
51 22884 70704
51 23398 23723
51 25897 40301
51 29118 55280
51 30281 17929
52 1304 117405
52 2453 99120
52 10642 179765
52 13216 21447
52 20849 134801
52 22974 101153
52 23709 66987
52 25081 155636
52 25497 199220
52 33223 51907
53 57 62346
53 8826 43707
53 13650 85651
53 18680 116364
53 22161 172966
53 29256 128547
53 34216 166269
53 34218 130478
53 34348 120183
54 1080 109531
54 1594 119228
54 5721 177777
54 7395 184057
54 9760 138633
54 13485 5582
54 14367 13847
54 15957 116074
54 16146 184071
54 19269 155049
54 21137 29385
54 25017 131549
54 33349 10609
55 2633 24909
55 2772 197008
55 6452 66556
55 8916 116015
55 9444 112458
55 13375 19997
55 13575 107741
55 15815 178727
55 32594 61878
56 2683 62712
56 2927 176145
56 4145 168042
56 4296 121199
56 6221 69829
56 14106 8816
56 16093 124197
56 22251 152750
56 25388 43373
56 29332 91931
56 33347 14790
56 33982 194062
57 4131 108383
57 7101 70540
57 7361 112146
57 11600 103468
57 13853 158697
57 14459 12969
57 15632 187506
57 18089 172338
57 19178 69613
57 20177 109927
57 20922 185891
57 24758 4029
57 25164 180488
57 27430 13475
57 29107 175181
57 29840 164892
58 1393 34748
58 4057 14422
58 4852 84011
58 6879 55252
58 10710 110472
58 11427 85374
58 12357 67207
58 13444 101538
58 16613 109487
58 16673 34174
58 17222 30795
58 20174 106736
58 29340 111830
58 30231 177677
58 31240 185066
59 3911 129034
59 13412 55121
59 14318 49981
59 17325 26322
59 18364 117825
59 18436 101007
59 20941 126943
59 22122 168186
59 26781 154784
59 30683 70877
60 494 22063
60 3610 152942
60 13876 88928
60 15440 125889
60 19725 89965
60 22383 65479
60 26008 199876
60 27807 26985
61 2324 187048
61 3123 156777
61 9433 59824
61 17125 97246
61 19591 43547
61 25511 104917
61 30823 128346
61 32914 175612
61 34241 13893
62 4459 186902
62 6735 30609
62 11908 20981
62 14240 145348
62 16409 20072
62 18735 29319
62 22563 143916
62 24155 60421
62 26911 38886
62 28923 134718
63 11438 54894
63 21983 132970
63 22238 18790
63 24830 19819
63 25889 84414
63 32058 56025
64 615 44759
64 10775 148365
64 11288 156023
64 12182 165689
64 12675 52639
64 13696 138335
64 16340 101671
64 20748 13172
64 28722 120757
64 29919 45931
64 31684 68051
65 13266 947
65 14225 14429
65 15141 38487
65 16624 151578
65 16675 89836
65 19219 135194
65 25193 126609
65 29100 173638
66 6791 59415
66 10362 45525
66 11748 73119
66 15114 10734
66 16416 3595
66 18196 60607
66 18436 33388
66 18481 69997
66 18806 55179
66 19387 16739
66 22785 106557
66 25276 49068
66 28640 57156
66 28890 22770
66 29057 16451
66 29614 25180
66 30042 46412
66 30561 84793
66 33821 177160
67 1574 77098
67 2865 91120
67 3052 142197
67 3646 77333
67 11123 160361
67 11834 64408
67 23683 37715
67 24228 195870
67 26815 64943
67 29131 166076
67 30131 7044
67 33715 56200
67 34218 177080
68 5990 127376
68 9242 193103
68 9302 144125
68 11423 17523
68 17430 44483
68 18691 30985
68 19724 86026
68 22579 134795
68 25261 159785
68 31017 34072
68 34660 58096
69 2849 99599
69 3983 145251
69 4305 49511
69 9763 115965
69 12012 136505
69 20327 182575
69 21868 107459
69 23288 184519
69 25094 43304
69 31129 5008
69 32697 46981
69 34688 153022
69 34789 105892
70 1358 145819
70 1407 147759
70 1722 120197
70 4109 65520
70 7546 145463
70 8079 141995
70 9868 102374
70 11242 30204
70 11645 170233
70 22896 39952
70 25173 179016
70 25538 164135
70 31943 15726
70 32064 69342
