13000 80000
1 246 16472
1 956 43518
1 1528 75089
1 2254 34740
1 2343 23495
1 2358 28677
1 2515 79986
1 5346 61972
1 5948 68858
1 6905 23850
1 9597 32938
1 9904 75014
1 10052 3769
1 12184 37923
1 12211 23502
1 12349 79546
1 12569 28080
2 287 10083
2 1434 63143
2 2288 76826
2 3357 40335
2 4735 56750
2 4839 76292
2 5277 22654
2 5291 7337
2 5905 62900
2 9311 14814
2 10171 18311
2 12087 42668
3 284 34220
3 2009 14830
3 2232 37804
3 2326 66482
3 2346 12464
3 2544 63430
3 3499 52304
3 5056 54640
3 8205 58273
3 9450 14521
3 12249 27418
3 12438 32514
4 944 56964
4 989 53703
4 1375 372
4 2644 19743
4 2792 1295
4 3502 1197
4 3725 50993
4 4451 78826
4 5894 69683
4 7491 33724
4 8080 26723
4 8293 62551
4 9073 75156
4 9301 40590
4 9470 49708
4 9888 22442
4 10486 68527
5 324 44826
5 1719 6924
5 2809 66906
5 3422 76175
5 3734 24174
5 4039 62061
5 4491 6453
5 4528 31824
5 4757 39667
5 5092 56103
5 7944 9179
5 9080 69960
5 9156 44440
5 10211 9436
5 12160 70188
5 12347 42151
5 12432 7119
6 29 58852
6 1964 66025
6 3751 27976
6 4753 32245
6 5044 3807
6 6434 28864
6 8328 67298
6 9335 60792
6 12577 28089
6 12933 2883
7 188 1255
7 536 12635
7 1503 53155
7 2508 39999
7 6403 18313
7 8091 36406
7 8695 42422
7 8755 79795
7 10324 24677
7 11269 47408
8 66 73496
8 862 16189
8 1200 31572
8 1360 69073
8 3695 77980
8 4044 7033
8 4971 28380
8 6189 29617
8 9195 41110
8 9427 20726
8 12238 59370
8 12411 18585
8 12533 74290
9 908 61796
9 1047 56385
9 1566 1955
9 1833 69321
9 3353 67343
9 3569 67006
9 3643 63468
9 5186 18925
9 5259 22647
9 5507 53964
9 5975 35071
9 6552 65296
9 7653 27032
9 8032 12693
9 8065 9551
10 422 44242
10 436 29470
10 2157 12297
10 2823 4153
10 3650 8272
10 4419 49566
10 4485 54435
10 4668 23232
10 5264 13495
10 6643 25483
10 8515 49628
10 9104 51172
10 10384 35779
10 10586 42404
10 10624 16917
10 12363 8576
11 591 61022
11 1079 9189
11 1155 8661
11 2421 59910
11 2687 78711
11 2803 36989
11 2882 43400
11 3038 22197
11 3848 17992
11 4376 48291
11 5515 14565
11 6952 11846
11 8949 54448
12 269 63031
12 1348 76867
12 3271 49401
12 3616 18161
12 3709 78885
12 4013 3893
12 5791 2616
12 6856 13210
12 8655 60888
12 12598 61689
13 856 16888
13 1359 44975
13 1556 8336
13 5525 43337
13 5874 53607
13 6106 68175
13 6143 53867
13 7386 73634
13 7501 61641
13 7565 46121
13 7709 15558
13 7721 31602
13 8970 66094
13 10431 78827
13 10805 26394
13 11137 1813
13 12294 3605
14 28 53603
14 354 11131
14 1121 50119
14 1337 27489
14 1519 72049
14 1663 14819
14 4751 6351
14 5250 51513
14 6198 10370
14 7260 70870
14 7284 7621
14 8279 54762
14 9278 76271
14 10112 60405
14 10770 64001
14 11125 54607
14 11360 67704
14 11907 49173
14 12243 49157
14 12588 6998
15 3691 60096
15 4386 52153
15 4457 18134
15 5049 68395
15 5537 34127
15 6938 24716
15 11039 7308
15 12694 69425
15 12789 34200
16 450 24037
16 1283 40778
16 2224 46596
16 2384 70698
16 2801 60942
16 3682 6612
16 3938 48360
16 6175 26767
16 6218 52331
16 6244 76829
16 7206 42581
16 8554 26294
16 8634 35805
16 9115 50593
16 9147 70709
16 12864 48968
17 382 15775
17 1653 73839
17 1946 13577
17 2545 49371
17 3050 76473
17 3605 1914
17 5215 1393
17 5955 60772
17 6546 24189
17 6682 725
17 7459 1049
17 7591 37015
17 7660 25315
17 8539 19840
17 11647 1703
17 12531 52642
18 117 51926
18 135 66059
18 2596 31544
18 6711 59201
18 7728 71747
18 8163 22737
18 11433 8281
19 1572 41821
19 5318 10120
19 5454 76798
19 5992 58937
19 6102 50756
19 6202 68660
19 6789 56860
19 9583 5815
19 9941 34355
19 11061 29548
19 12218 11329
19 12403 77911
20 246 45797
20 934 58787
20 2889 430
