100000 158000
44361 49237 117031
45244 62186 57245
29472 71279 66411
53023 37004 155101
3057 29775 13361
75671 19787 155535
32133 2923 36687
3968 29263 59814
42101 53986 99942
87940 5139 37828
39072 64825 2776
90421 29399 73746
23724 90573 86616
37468 57706 45504
74081 28709 95979
68366 72078 8240
44456 83902 73854
86379 18513 74179
17752 80710 90566
15235 41845 132481
88861 22821 48240
66527 37284 64375
16103 86078 74837
30591 99193 126991
67039 8740 59698
73386 95019 102281
55819 76908 83262
92716 57152 19711
39214 29824 112375
70701 44792 145157
999 17696 42111
34278 48321 120554
26790 68848 153833
32459 65491 105341
81854 43969 123514
46914 81020 22270
58829 4713 3323
29034 90120 7698
53322 50516 85285
51942 81311 43602
11786 99803 121805
66103 96843 146668
30518 76681 133008
4127 50771 40460
13257 8483 116907
7068 56029 110378
76330 93272 150159
87223 5766 118159
64608 82048 40528
21883 93327 13222
86274 84538 51378
27669 9485 137436
91657 88298 113631
12578 64886 92475
23793 47855 22924
9299 51672 118465
5272 81568 38004
60729 42001 32960
85516 86487 43580
9113 50969 149892
75349 91676 79994
76626 5565 114710
18648 99486 32294
3799 67305 147881
34233 10910 82510
4148 992 106703
28504 80328 155069
1665 55160 68708
50589 29436 12203
67033 95115 99700
79348 64699 50416
95499 73041 16936
36863 91797 92409
44307 61943 49475
18391 49398 129575
7838 48399 34245
68778 83235 12080
36299 19206 75555
99697 72621 52026
80082 67503 116724
19230 28142 56007
234 15126 88327
39639 39469 55406
69840 6942 110249
47291 98417 98014
81871 50215 123473
12243 42098 20690
41726 45256 28989
92630 30551 6406
21490 43925 81739
19774 78230 49692
53254 98206 28164
62559 42259 148415
96207 56832 106213
6515 27051 57595
25075 65033 93409
62747 42600 123807
55521 51503 63229
54206 18157 124747
83880 42020 92744
3319 34107 148752
44897 86963 90903
69255 98093 47028
15450 7997 24230
50408 7423 47372
11796 50673 109194
88561 2714 108471
58018 7736 62884
79894 94656 87777
78760 96705 72402
82779 94384 115180
5354 37606 57778
25034 37185 108852
34121 29279 118749
82203 87570 11436
86300 93510 59257
13071 60716 151675
34044 59742 131488
57878 37209 42236
86885 91089 135094
63708 31848 26699
50116 31701 98650
9083 70259 10864
93939 71226 49181
33751 76221 67854
38291 74619 6194
28431 75485 15006
58249 67934 58934
67702 7067 63158
28516 99499 19377
72118 39201 65930
52193 50924 107283
10376 50222 152816
86064 57160 13265
16924 27102 38716
82160 82713 111147
75136 17387 31734
15492 59607 70635
70368 71756 53495
7161 32737 114142
9307 34142 79144
8283 85176 24765
99107 38341 9754
49683 66957 8807
72082 1233 14964
98072 62801 42869
49848 30579 74232
84179 31101 147490
76866 65303 11199
10372 90924 50964
92763 88966 70609
54759 77501 48825
46726 67454 105321
17760 4535 155243
21297 18490 26306
66076 23505 101017
55486 86066 59517
76567 87687 133234
51574 70069 81559
13898 61680 139292
41439 36192 151763
4091 99727 39043
17771 70410 142075
70538 17867 29624
14393 68420 14741
78283 23307 67934
24139 75528 34937
88093 48376 112288
50179 64917 82908
32154 51438 63929
41636 5665 75164
38574 94995 96103
16304 63213 7273
71126 92838 43729
14184 58722 120196
43882 91072 71716
59994 74043 56807
14823 67801 150022
12475 95225 85650
39182 77283 39778
68401 67682 11863
21694 30194 94014
59397 98953 99361
54355 48185 151945
24040 82303 157614
11796 33850 50022
73175 32907 125170
53813 91781 15185
42073 44506 58097
88175 98882 73217
46422 12481 143876
69172 94973 72692
69790 82390 11338
29905 87649 10238
49962 71728 33127
89348 29855 36091
97290 44402 37907
65712 35633 10701
81458 54178 21574
47413 10280 49460
30129 84184 103553
89543 30531 133934
94103 70023 141225
55234 1179 145317
52683 59094 142370
61262 16111 47411
13558 98985 110229
41128 50230 122711
35981 55051 41384
82682 5104 70965
46070 39715 102416
38927 51347 100080
32429 45343 81308
80055 97471 131869
82360 76890 38151
99168 33231 119422
81211 79252 135433
73663 1366 119521
23859 10035 26997
10107 63884 92212
65964 50289 55222
49637 36837 50939
60562 94152 69171
17228 74237 112625
60719 42227 79145
26630 1896 120710
93183 4228 121687
20132 91923 113461
34415 69645 134182
79435 26107 118770
6270 11116 41884
53052 41842 127990
43213 20878 134529
44712 73781 46177
73956 61220 122373
389 18510 31741
93824 80570 125686
85120 35285 34394
50202 12939 101226
33643 51014 146760
60122 49576 148695
58377 86366 111107
61726 96120 126252
44472 72557 152976
63223 53503 59720
29008 65501 20888
91425 68464 124106
51387 14342 150678
1262 74142 68766
65967 43247 118773
42402 718 143282
11923 86265 14676
79813 67087 58908
39599 81743 133006
8075 39273 103255
75917 14054 23521
70468 30833 68741
76326 20737 21091
1952 54660 13788
65748 48447 145763
68775 40192 38222
60833 66127 87391
90205 39618 114655
91735 15378 37450
5978 66991 129704
92472 90683 123041
52779 31331 100063
60020 72317 115843
30485 42382 110423
43859 69251 26512
27721 88191 79097
46884 59670 44285
70323 47673 31990
47096 41310 154972
23583 4492 53000
78987 94305 7916
55751 39522 67784
3744 13663 85466
74163 34927 65359
39788 2989 24460
92883 90660 23423
24946 90829 103401
74806 39985 60756
88637 2574 90575
75043 51994 141342
35698 69313 60771
66455 71839 95058
53485 86046 79840
29414 26368 35496
93784 60161 111540
27140 55823 103595
86354 4843 152192
24290 87069 94763
86348 45811 24555
17579 54130 45363
89422 9236 27451
43375 21695 64117
74881 81561 74310
52828 85247 55141
47399 29447 38690
17466 65829 23459
96683 35462 58235
2636 56714 21613
