46111 85000
1 17447 29778
1 18712 14121
1 28812 39858
1 41735 30221
1 43982 9844
2 2099 53692
2 8386 7266
2 20188 64782
3 806 13096
3 11883 76705
4 6039 44565
4 8815 17334
4 20402 71076
4 42988 43839
5 32757 23374
5 35526 37840
6 22087 84357
6 33774 69612
6 39014 48894
7 18874 77768
7 21877 20979
8 9083 72968
8 10930 36593
8 16687 37486
8 36821 17328
9 7787 79795
9 25860 12614
9 28585 74835
9 35181 67953
10 10156 50076
10 17197 6926
10 27926 17376
11 7468 27391
11 10308 26241
11 26280 63960
11 26652 823
12 23553 11764
12 23583 55332
13 11297 48578
14 9648 65084
14 22263 57333
14 23317 17253
14 42960 57488
15 6073 18407
15 8086 1381
15 8945 46910
15 16923 46716
15 16997 80061
15 21219 9429
15 23788 15654
16 16523 60847
16 34835 65763
16 45900 29283
17 1031 23971
17 19182 23877
17 22031 50710
17 24416 72736
18 1446 23776
18 10037 26719
18 31295 78815
19 4967 40795
19 6529 45318
19 25225 45132
19 29413 25161
19 45206 71332
20 3129 71910
20 18631 91
20 26465 55620
21 8727 73733
21 23986 81130
21 28384 6041
21 29552 71161
21 30154 44606
21 36134 6578
21 41552 44029
22 3705 29871
22 7276 39957
22 17294 65528
22 20317 55167
22 21846 63966
23 33338 55391
24 12258 23359
24 37046 34270
24 43458 84565
25 8344 618
25 10141 20732
25 26149 46530
25 26450 79767
25 36806 61543
26 4280 81600
26 10441 24278
26 12521 77634
26 43144 59411
26 45075 55792
27 4588 55186
27 11604 6462
27 15151 2237
28 10559 84609
28 12137 15983
28 20117 75672
28 35219 83385
28 35902 24814
29 422 50981
29 35620 35075
30 16928 53815
30 18432 24686
31 10974 31407
31 13792 63668
31 29426 48295
31 34565 11603
32 4945 84456
32 17279 17898
32 21322 8623
32 24676 31802
32 37350 67796
33 16257 70060
33 25477 57001
33 38213 10856
33 43419 12172
34 19549 64333
34 31361 73424
34 36194 74609
34 38677 67161
34 42469 59512
34 42808 67670
35 9809 42869
35 13434 26635
35 27391 16628
35 38618 58597
36 5567 63295
36 16202 54977
36 34819 351
37 25864 63906
37 33294 9805
37 44185 81493
38 1715 81173
38 3148 44902
38 3380 31117
38 11770 24601
38 18017 15785
38 29811 24440
38 31681 11083
39 8296 16092
39 41292 44926
39 44403 20396
40 4376 49275
40 4820 72795
40 21421 16168
41 20416 71363
41 25403 28151
41 44426 24949
42 21200 61300
42 25301 62615
43 1555 52540
43 8031 67019
43 22369 62736
44 6830 50171
44 26931 54655
44 32297 83558
44 36193 57805
45 4004 4557
45 16511 27897
45 18010 31649
45 26520 69591
45 26686 58598
45 27998 29444
46 23501 22461
46 36961 14399
46 41852 70232
47 10874 54521
47 24841 45322
47 28925 72134
48 5649 52111
48 15620 43237
48 15633 35780
48 18487 82278
49 8679 84824
49 10294 31547
49 24887 15272
50 35542 6461
50 39739 73159
51 13246 308
51 24095 29142
51 27826 4389
51 37165 75580
52 17689 60801
52 23047 63821
53 5549 60107
53 7948 64234
53 23669 70671
53 39083 40272
54 10956 8645
54 17642 25795
54 19860 1847
55 8524 36872
55 22000 63891
55 27989 24164
56 21609 32311
56 24109 65897
57 5995 18999
57 7404 73503
57 42606 62542
58 5892 46080
